Edges count:,2112
Element count:,1024
¹,q,q*,|q - q*|
0,9.60170e-01,9.60170e-01,5.66699e-11
1,9.60170e-01,9.60170e-01,5.66699e-11
2,9.60170e-01,9.60170e-01,5.66699e-11
3,9.60170e-01,9.60170e-01,5.66699e-11
4,9.60170e-01,9.60170e-01,5.66699e-11
5,9.60170e-01,9.60170e-01,5.66699e-11
6,9.60170e-01,9.60170e-01,5.66699e-11
7,9.60170e-01,9.60170e-01,5.66699e-11
8,9.60170e-01,9.60170e-01,5.66699e-11
9,9.60170e-01,9.60170e-01,5.66699e-11
10,9.60170e-01,9.60170e-01,5.66699e-11
11,9.60170e-01,9.60170e-01,5.66699e-11
12,9.60170e-01,9.60170e-01,5.66699e-11
13,9.60170e-01,9.60170e-01,5.66699e-11
14,9.60170e-01,9.60170e-01,5.66699e-11
15,9.60170e-01,9.60170e-01,5.66699e-11
16,9.60170e-01,9.60170e-01,5.66699e-11
17,9.60170e-01,9.60170e-01,5.66699e-11
18,9.60170e-01,9.60170e-01,5.66699e-11
19,9.60170e-01,9.60170e-01,5.66699e-11
20,9.60170e-01,9.60170e-01,5.66699e-11
21,9.60170e-01,9.60170e-01,5.66699e-11
22,9.60170e-01,9.60170e-01,5.66699e-11
23,9.60170e-01,9.60170e-01,5.66699e-11
24,9.60170e-01,9.60170e-01,5.66699e-11
25,9.60170e-01,9.60170e-01,5.66699e-11
26,9.60170e-01,9.60170e-01,5.66699e-11
27,9.60170e-01,9.60170e-01,5.66699e-11
28,9.60170e-01,9.60170e-01,5.66699e-11
29,9.60170e-01,9.60170e-01,5.66699e-11
30,9.60170e-01,9.60170e-01,5.66699e-11
31,9.60170e-01,9.60170e-01,5.66699e-11
32,2.79415e-01,2.79415e-01,1.02525e-09
33,6.09224e-01,6.11682e-01,2.45856e-03
34,8.54676e-01,8.58934e-01,4.25814e-03
35,9.81561e-01,9.86808e-01,5.24715e-03
36,9.72171e-01,9.77530e-01,5.35934e-03
37,8.27768e-01,8.32391e-01,4.62290e-03
38,5.68386e-01,5.71561e-01,3.17493e-03
39,2.30057e-01,2.31294e-01,1.23719e-03
40,-1.40214e-01,-1.41120e-01,9.05622e-04
41,-4.90975e-01,-4.93920e-01,2.94500e-03
42,-7.73483e-01,-7.78073e-01,4.59044e-03
43,-9.48477e-01,-9.54086e-01,5.60842e-03
44,-9.91641e-01,-9.97495e-01,5.85407e-03
45,-8.96977e-01,-9.02268e-01,5.29085e-03
46,-6.77643e-01,-6.81639e-01,3.99534e-03
47,-3.64126e-01,-3.66273e-01,2.14635e-03
48,-9.17149e-08,0.00000e+00,9.17149e-08
49,3.64126e-01,3.66273e-01,2.14653e-03
50,6.77643e-01,6.81639e-01,3.99548e-03
51,8.96977e-01,9.02268e-01,5.29096e-03
52,9.91641e-01,9.97495e-01,5.85420e-03
53,9.48477e-01,9.54086e-01,5.60859e-03
54,7.73483e-01,7.78073e-01,4.59053e-03
55,4.90976e-01,4.93920e-01,2.94479e-03
56,1.40215e-01,1.41120e-01,9.05352e-04
57,-2.30057e-01,-2.31294e-01,1.23668e-03
58,-5.68387e-01,-5.71561e-01,3.17430e-03
59,-8.27767e-01,-8.32391e-01,4.62379e-03
60,-9.72172e-01,-9.77530e-01,5.35846e-03
61,-9.81560e-01,-9.86808e-01,5.24756e-03
62,-8.54677e-01,-8.58934e-01,4.25765e-03
63,-6.09224e-01,-6.11682e-01,2.45826e-03
64,-2.79415e-01,-2.79415e-01,1.82036e-09
65,7.90327e-01,7.91104e-01,7.76605e-04
66,7.90327e-01,7.91104e-01,7.76554e-04
67,7.90328e-01,7.91104e-01,7.75354e-04
68,7.90326e-01,7.91104e-01,7.77175e-04
69,7.90328e-01,7.91104e-01,7.75498e-04
70,7.90327e-01,7.91104e-01,7.76805e-04
71,7.90327e-01,7.91104e-01,7.76277e-04
72,7.90327e-01,7.91104e-01,7.76155e-04
73,7.90327e-01,7.91104e-01,7.76319e-04
74,7.90327e-01,7.91104e-01,7.76372e-04
75,7.90327e-01,7.91104e-01,7.76346e-04
76,7.90327e-01,7.91104e-01,7.76326e-04
77,7.90327e-01,7.91104e-01,7.76333e-04
78,7.90327e-01,7.91104e-01,7.76334e-04
79,7.90327e-01,7.91104e-01,7.76326e-04
80,7.90327e-01,7.91104e-01,7.76318e-04
81,7.90327e-01,7.91104e-01,7.76302e-04
82,7.90327e-01,7.91104e-01,7.76277e-04
83,7.90327e-01,7.91104e-01,7.76263e-04
84,7.90327e-01,7.91104e-01,7.76295e-04
85,7.90327e-01,7.91104e-01,7.76340e-04
86,7.90327e-01,7.91104e-01,7.76261e-04
87,7.90327e-01,7.91104e-01,7.76066e-04
88,7.90327e-01,7.91104e-01,7.76246e-04
89,7.90327e-01,7.91104e-01,7.76910e-04
90,7.90327e-01,7.91104e-01,7.76419e-04
91,7.90328e-01,7.91104e-01,7.75285e-04
92,7.90326e-01,7.91104e-01,7.77428e-04
93,7.90328e-01,7.91104e-01,7.75693e-04
94,7.90327e-01,7.91104e-01,7.76314e-04
95,7.90327e-01,7.91104e-01,7.76434e-04
96,7.90327e-01,7.91104e-01,7.76244e-04
97,2.79415e-01,2.79415e-01,1.02525e-09
98,6.09224e-01,6.11682e-01,2.45836e-03
99,8.54678e-01,8.58934e-01,4.25699e-03
100,9.81560e-01,9.86808e-01,5.24816e-03
101,9.72172e-01,9.77530e-01,5.35847e-03
102,8.27767e-01,8.32391e-01,4.62373e-03
103,5.68387e-01,5.71561e-01,3.17464e-03
104,2.30057e-01,2.31294e-01,1.23702e-03
105,-1.40214e-01,-1.41120e-01,9.05517e-04
106,-4.90975e-01,-4.93920e-01,2.94495e-03
107,-7.73483e-01,-7.78073e-01,4.59048e-03
108,-9.48477e-01,-9.54086e-01,5.60853e-03
109,-9.91641e-01,-9.97495e-01,5.85420e-03
110,-8.96977e-01,-9.02268e-01,5.29099e-03
111,-6.77643e-01,-6.81639e-01,3.99549e-03
112,-3.64126e-01,-3.66273e-01,2.14653e-03
113,7.60176e-08,0.00000e+00,7.60176e-08
114,3.64126e-01,3.66273e-01,2.14639e-03
115,6.77643e-01,6.81639e-01,3.99540e-03
116,8.96977e-01,9.02268e-01,5.29093e-03
117,9.91641e-01,9.97495e-01,5.85413e-03
118,9.48477e-01,9.54086e-01,5.60841e-03
119,7.73483e-01,7.78073e-01,4.59046e-03
120,4.90975e-01,4.93920e-01,2.94523e-03
121,1.40214e-01,1.41120e-01,9.05876e-04
122,-2.30056e-01,-2.31294e-01,1.23738e-03
123,-5.68386e-01,-5.71561e-01,3.17504e-03
124,-8.27768e-01,-8.32391e-01,4.62263e-03
125,-9.72171e-01,-9.77530e-01,5.35955e-03
126,-9.81561e-01,-9.86808e-01,5.24742e-03
127,-8.54677e-01,-8.58934e-01,4.25763e-03
128,-6.09224e-01,-6.11682e-01,2.45837e-03
129,-2.79415e-01,-2.79415e-01,1.82036e-09
130,5.11731e-01,5.12085e-01,3.54689e-04
131,5.11732e-01,5.12085e-01,3.53868e-04
132,5.11731e-01,5.12085e-01,3.54635e-04
133,5.11731e-01,5.12085e-01,3.54040e-04
134,5.11731e-01,5.12085e-01,3.54505e-04
135,5.11731e-01,5.12085e-01,3.54112e-04
136,5.11731e-01,5.12085e-01,3.54421e-04
137,5.11731e-01,5.12085e-01,3.54278e-04
138,5.11731e-01,5.12085e-01,3.54259e-04
139,5.11731e-01,5.12085e-01,3.54335e-04
140,5.11731e-01,5.12085e-01,3.54308e-04
141,5.11731e-01,5.12085e-01,3.54305e-04
142,5.11731e-01,5.12085e-01,3.54320e-04
143,5.11731e-01,5.12085e-01,3.54310e-04
144,5.11731e-01,5.12085e-01,3.54305e-04
145,5.11731e-01,5.12085e-01,3.54315e-04
146,5.11731e-01,5.12085e-01,3.54319e-04
147,5.11731e-01,5.12085e-01,3.54301e-04
148,5.11731e-01,5.12085e-01,3.54270e-04
149,5.11731e-01,5.12085e-01,3.54252e-04
150,5.11731e-01,5.12085e-01,3.54275e-04
151,5.11731e-01,5.12085e-01,3.54334e-04
152,5.11731e-01,5.12085e-01,3.54345e-04
153,5.11731e-01,5.12085e-01,3.54242e-04
154,5.11731e-01,5.12085e-01,3.54272e-04
155,5.11731e-01,5.12085e-01,3.54520e-04
156,5.11731e-01,5.12085e-01,3.54126e-04
157,5.11731e-01,5.12085e-01,3.54183e-04
158,5.11731e-01,5.12085e-01,3.54399e-04
159,5.11731e-01,5.12085e-01,3.54140e-04
160,5.11731e-01,5.12085e-01,3.54407e-04
161,5.11731e-01,5.12085e-01,3.54325e-04
162,2.79415e-01,2.79415e-01,1.02525e-09
163,6.09224e-01,6.11682e-01,2.45817e-03
164,8.54677e-01,8.58934e-01,4.25767e-03
165,9.81561e-01,9.86808e-01,5.24741e-03
166,9.72171e-01,9.77530e-01,5.35905e-03
167,8.27767e-01,8.32391e-01,4.62314e-03
168,5.68386e-01,5.71561e-01,3.17487e-03
169,2.30057e-01,2.31294e-01,1.23702e-03
170,-1.40214e-01,-1.41120e-01,9.05644e-04
171,-4.90975e-01,-4.93920e-01,2.94498e-03
172,-7.73483e-01,-7.78073e-01,4.59049e-03
173,-9.48477e-01,-9.54086e-01,5.60852e-03
174,-9.91641e-01,-9.97495e-01,5.85417e-03
175,-8.96977e-01,-9.02268e-01,5.29095e-03
176,-6.77643e-01,-6.81639e-01,3.99545e-03
177,-3.64126e-01,-3.66273e-01,2.14647e-03
178,2.14379e-08,0.00000e+00,2.14379e-08
179,3.64126e-01,3.66273e-01,2.14643e-03
180,6.77643e-01,6.81639e-01,3.99541e-03
181,8.96977e-01,9.02268e-01,5.29091e-03
182,9.91641e-01,9.97495e-01,5.85414e-03
183,9.48477e-01,9.54086e-01,5.60850e-03
184,7.73483e-01,7.78073e-01,4.59047e-03
185,4.90975e-01,4.93920e-01,2.94494e-03
186,1.40214e-01,1.41120e-01,9.05612e-04
187,-2.30057e-01,-2.31294e-01,1.23701e-03
188,-5.68386e-01,-5.71561e-01,3.17498e-03
189,-8.27767e-01,-8.32391e-01,4.62321e-03
190,-9.72171e-01,-9.77530e-01,5.35891e-03
191,-9.81560e-01,-9.86808e-01,5.24753e-03
192,-8.54677e-01,-8.58934e-01,4.25747e-03
193,-6.09224e-01,-6.11682e-01,2.45819e-03
194,-2.79415e-01,-2.79415e-01,1.82036e-09
195,1.62760e-01,1.61895e-01,8.64399e-04
196,1.62760e-01,1.61895e-01,8.64902e-04
197,1.62760e-01,1.61895e-01,8.64570e-04
198,1.62760e-01,1.61895e-01,8.64746e-04
199,1.62760e-01,1.61895e-01,8.64691e-04
200,1.62760e-01,1.61895e-01,8.64736e-04
201,1.62760e-01,1.61895e-01,8.64674e-04
202,1.62760e-01,1.61895e-01,8.64733e-04
203,1.62760e-01,1.61895e-01,8.64703e-04
204,1.62760e-01,1.61895e-01,8.64685e-04
205,1.62760e-01,1.61895e-01,8.64705e-04
206,1.62760e-01,1.61895e-01,8.64685e-04
207,1.62760e-01,1.61895e-01,8.64675e-04
208,1.62760e-01,1.61895e-01,8.64691e-04
209,1.62760e-01,1.61895e-01,8.64693e-04
210,1.62760e-01,1.61895e-01,8.64675e-04
211,1.62760e-01,1.61895e-01,8.64669e-04
212,1.62760e-01,1.61895e-01,8.64694e-04
213,1.62760e-01,1.61895e-01,8.64731e-04
214,1.62760e-01,1.61895e-01,8.64743e-04
215,1.62760e-01,1.61895e-01,8.64712e-04
216,1.62760e-01,1.61895e-01,8.64678e-04
217,1.62760e-01,1.61895e-01,8.64687e-04
218,1.62760e-01,1.61895e-01,8.64725e-04
219,1.62760e-01,1.61895e-01,8.64700e-04
220,1.62760e-01,1.61895e-01,8.64691e-04
221,1.62760e-01,1.61895e-01,8.64685e-04
222,1.62760e-01,1.61895e-01,8.64821e-04
223,1.62760e-01,1.61895e-01,8.64651e-04
224,1.62760e-01,1.61895e-01,8.64760e-04
225,1.62760e-01,1.61895e-01,8.64587e-04
226,1.62760e-01,1.61895e-01,8.64763e-04
227,2.79415e-01,2.79415e-01,1.02525e-09
228,6.09224e-01,6.11682e-01,2.45809e-03
229,8.54677e-01,8.58934e-01,4.25762e-03
230,9.81560e-01,9.86808e-01,5.24748e-03
231,9.72171e-01,9.77530e-01,5.35891e-03
232,8.27767e-01,8.32391e-01,4.62323e-03
233,5.68387e-01,5.71561e-01,3.17478e-03
234,2.30057e-01,2.31294e-01,1.23704e-03
235,-1.40214e-01,-1.41120e-01,9.05621e-04
236,-4.90975e-01,-4.93920e-01,2.94499e-03
237,-7.73483e-01,-7.78073e-01,4.59049e-03
238,-9.48477e-01,-9.54086e-01,5.60850e-03
239,-9.91641e-01,-9.97495e-01,5.85416e-03
240,-8.96977e-01,-9.02268e-01,5.29094e-03
241,-6.77643e-01,-6.81639e-01,3.99543e-03
242,-3.64126e-01,-3.66273e-01,2.14646e-03
243,1.57027e-08,0.00000e+00,1.57027e-08
244,3.64126e-01,3.66273e-01,2.14643e-03
245,6.77643e-01,6.81639e-01,3.99540e-03
246,8.96977e-01,9.02268e-01,5.29091e-03
247,9.91641e-01,9.97495e-01,5.85413e-03
248,9.48477e-01,9.54086e-01,5.60847e-03
249,7.73483e-01,7.78073e-01,4.59044e-03
250,4.90975e-01,4.93920e-01,2.94494e-03
251,1.40214e-01,1.41120e-01,9.05587e-04
252,-2.30057e-01,-2.31294e-01,1.23706e-03
253,-5.68387e-01,-5.71561e-01,3.17481e-03
254,-8.27767e-01,-8.32391e-01,4.62325e-03
255,-9.72171e-01,-9.77530e-01,5.35889e-03
256,-9.81560e-01,-9.86808e-01,5.24748e-03
257,-8.54677e-01,-8.58934e-01,4.25748e-03
258,-6.09224e-01,-6.11682e-01,2.45827e-03
259,-2.79415e-01,-2.79415e-01,1.82036e-09
260,-2.08320e-01,-2.10796e-01,2.47619e-03
261,-2.08320e-01,-2.10796e-01,2.47627e-03
262,-2.08320e-01,-2.10796e-01,2.47628e-03
263,-2.08319e-01,-2.10796e-01,2.47636e-03
264,-2.08320e-01,-2.10796e-01,2.47627e-03
265,-2.08319e-01,-2.10796e-01,2.47639e-03
266,-2.08320e-01,-2.10796e-01,2.47627e-03
267,-2.08319e-01,-2.10796e-01,2.47635e-03
268,-2.08319e-01,-2.10796e-01,2.47632e-03
269,-2.08320e-01,-2.10796e-01,2.47630e-03
270,-2.08319e-01,-2.10796e-01,2.47632e-03
271,-2.08320e-01,-2.10796e-01,2.47630e-03
272,-2.08320e-01,-2.10796e-01,2.47629e-03
273,-2.08319e-01,-2.10796e-01,2.47631e-03
274,-2.08319e-01,-2.10796e-01,2.47631e-03
275,-2.08320e-01,-2.10796e-01,2.47629e-03
276,-2.08320e-01,-2.10796e-01,2.47628e-03
277,-2.08319e-01,-2.10796e-01,2.47631e-03
278,-2.08319e-01,-2.10796e-01,2.47635e-03
279,-2.08319e-01,-2.10796e-01,2.47636e-03
280,-2.08319e-01,-2.10796e-01,2.47634e-03
281,-2.08319e-01,-2.10796e-01,2.47631e-03
282,-2.08320e-01,-2.10796e-01,2.47630e-03
283,-2.08319e-01,-2.10796e-01,2.47633e-03
284,-2.08319e-01,-2.10796e-01,2.47631e-03
285,-2.08320e-01,-2.10796e-01,2.47629e-03
286,-2.08319e-01,-2.10796e-01,2.47632e-03
287,-2.08319e-01,-2.10796e-01,2.47639e-03
288,-2.08319e-01,-2.10796e-01,2.47630e-03
289,-2.08319e-01,-2.10796e-01,2.47635e-03
290,-2.08320e-01,-2.10796e-01,2.47627e-03
291,-2.08319e-01,-2.10796e-01,2.47636e-03
292,2.79415e-01,2.79415e-01,1.02525e-09
293,6.09224e-01,6.11682e-01,2.45822e-03
294,8.54677e-01,8.58934e-01,4.25751e-03
295,9.81560e-01,9.86808e-01,5.24750e-03
296,9.72171e-01,9.77530e-01,5.35892e-03
297,8.27767e-01,8.32391e-01,4.62320e-03
298,5.68387e-01,5.71561e-01,3.17479e-03
299,2.30057e-01,2.31294e-01,1.23703e-03
300,-1.40214e-01,-1.41120e-01,9.05624e-04
301,-4.90975e-01,-4.93920e-01,2.94499e-03
302,-7.73483e-01,-7.78073e-01,4.59049e-03
303,-9.48477e-01,-9.54086e-01,5.60851e-03
304,-9.91641e-01,-9.97495e-01,5.85416e-03
305,-8.96977e-01,-9.02268e-01,5.29094e-03
306,-6.77643e-01,-6.81639e-01,3.99543e-03
307,-3.64126e-01,-3.66273e-01,2.14646e-03
308,1.71441e-08,0.00000e+00,1.71441e-08
309,3.64126e-01,3.66273e-01,2.14642e-03
310,6.77643e-01,6.81639e-01,3.99539e-03
311,8.96977e-01,9.02268e-01,5.29089e-03
312,9.91641e-01,9.97495e-01,5.85412e-03
313,9.48477e-01,9.54086e-01,5.60848e-03
314,7.73483e-01,7.78073e-01,4.59045e-03
315,4.90975e-01,4.93920e-01,2.94493e-03
316,1.40214e-01,1.41120e-01,9.05590e-04
317,-2.30057e-01,-2.31294e-01,1.23707e-03
318,-5.68387e-01,-5.71561e-01,3.17480e-03
319,-8.27767e-01,-8.32391e-01,4.62324e-03
320,-9.72171e-01,-9.77530e-01,5.35890e-03
321,-9.81560e-01,-9.86808e-01,5.24749e-03
322,-8.54677e-01,-8.58934e-01,4.25754e-03
323,-6.09224e-01,-6.11682e-01,2.45823e-03
324,-2.79415e-01,-2.79415e-01,1.82036e-09
325,-5.50094e-01,-5.54190e-01,4.09535e-03
326,-5.50094e-01,-5.54190e-01,4.09539e-03
327,-5.50094e-01,-5.54190e-01,4.09537e-03
328,-5.50094e-01,-5.54190e-01,4.09550e-03
329,-5.50094e-01,-5.54190e-01,4.09541e-03
330,-5.50094e-01,-5.54190e-01,4.09551e-03
331,-5.50094e-01,-5.54190e-01,4.09540e-03
332,-5.50094e-01,-5.54190e-01,4.09548e-03
333,-5.50094e-01,-5.54190e-01,4.09545e-03
334,-5.50094e-01,-5.54190e-01,4.09542e-03
335,-5.50094e-01,-5.54190e-01,4.09544e-03
336,-5.50094e-01,-5.54190e-01,4.09542e-03
337,-5.50094e-01,-5.54190e-01,4.09541e-03
338,-5.50094e-01,-5.54190e-01,4.09544e-03
339,-5.50094e-01,-5.54190e-01,4.09544e-03
340,-5.50094e-01,-5.54190e-01,4.09541e-03
341,-5.50094e-01,-5.54190e-01,4.09541e-03
342,-5.50094e-01,-5.54190e-01,4.09544e-03
343,-5.50094e-01,-5.54190e-01,4.09548e-03
344,-5.50094e-01,-5.54190e-01,4.09548e-03
345,-5.50094e-01,-5.54190e-01,4.09545e-03
346,-5.50094e-01,-5.54190e-01,4.09544e-03
347,-5.50094e-01,-5.54190e-01,4.09543e-03
348,-5.50094e-01,-5.54190e-01,4.09544e-03
349,-5.50094e-01,-5.54190e-01,4.09544e-03
350,-5.50094e-01,-5.54190e-01,4.09537e-03
351,-5.50094e-01,-5.54190e-01,4.09546e-03
352,-5.50094e-01,-5.54190e-01,4.09548e-03
353,-5.50094e-01,-5.54190e-01,4.09545e-03
354,-5.50094e-01,-5.54190e-01,4.09548e-03
355,-5.50094e-01,-5.54190e-01,4.09535e-03
356,-5.50094e-01,-5.54190e-01,4.09551e-03
357,2.79415e-01,2.79415e-01,1.02525e-09
358,6.09224e-01,6.11682e-01,2.45823e-03
359,8.54677e-01,8.58934e-01,4.25753e-03
360,9.81560e-01,9.86808e-01,5.24748e-03
361,9.72171e-01,9.77530e-01,5.35891e-03
362,8.27767e-01,8.32391e-01,4.62321e-03
363,5.68387e-01,5.71561e-01,3.17479e-03
364,2.30057e-01,2.31294e-01,1.23703e-03
365,-1.40214e-01,-1.41120e-01,9.05621e-04
366,-4.90975e-01,-4.93920e-01,2.94499e-03
367,-7.73483e-01,-7.78073e-01,4.59049e-03
368,-9.48477e-01,-9.54086e-01,5.60851e-03
369,-9.91641e-01,-9.97495e-01,5.85417e-03
370,-8.96977e-01,-9.02268e-01,5.29094e-03
371,-6.77643e-01,-6.81639e-01,3.99544e-03
372,-3.64126e-01,-3.66273e-01,2.14647e-03
373,2.40005e-08,0.00000e+00,2.40005e-08
374,3.64126e-01,3.66273e-01,2.14642e-03
375,6.77643e-01,6.81639e-01,3.99539e-03
376,8.96977e-01,9.02268e-01,5.29089e-03
377,9.91641e-01,9.97495e-01,5.85411e-03
378,9.48477e-01,9.54086e-01,5.60847e-03
379,7.73483e-01,7.78073e-01,4.59045e-03
380,4.90975e-01,4.93920e-01,2.94494e-03
381,1.40214e-01,1.41120e-01,9.05590e-04
382,-2.30057e-01,-2.31294e-01,1.23706e-03
383,-5.68387e-01,-5.71561e-01,3.17482e-03
384,-8.27767e-01,-8.32391e-01,4.62322e-03
385,-9.72171e-01,-9.77530e-01,5.35895e-03
386,-9.81560e-01,-9.86808e-01,5.24748e-03
387,-8.54677e-01,-8.58934e-01,4.25753e-03
388,-6.09224e-01,-6.11682e-01,2.45826e-03
389,-2.79415e-01,-2.79415e-01,1.82036e-09
390,-8.15173e-01,-8.20559e-01,5.38649e-03
391,-8.15173e-01,-8.20559e-01,5.38649e-03
392,-8.15173e-01,-8.20559e-01,5.38650e-03
393,-8.15173e-01,-8.20559e-01,5.38661e-03
394,-8.15173e-01,-8.20559e-01,5.38653e-03
395,-8.15173e-01,-8.20559e-01,5.38663e-03
396,-8.15173e-01,-8.20559e-01,5.38651e-03
397,-8.15173e-01,-8.20559e-01,5.38659e-03
398,-8.15173e-01,-8.20559e-01,5.38657e-03
399,-8.15173e-01,-8.20559e-01,5.38655e-03
400,-8.15173e-01,-8.20559e-01,5.38656e-03
401,-8.15173e-01,-8.20559e-01,5.38653e-03
402,-8.15173e-01,-8.20559e-01,5.38653e-03
403,-8.15173e-01,-8.20559e-01,5.38655e-03
404,-8.15173e-01,-8.20559e-01,5.38656e-03
405,-8.15173e-01,-8.20559e-01,5.38653e-03
406,-8.15173e-01,-8.20559e-01,5.38652e-03
407,-8.15173e-01,-8.20559e-01,5.38656e-03
408,-8.15173e-01,-8.20559e-01,5.38661e-03
409,-8.15173e-01,-8.20559e-01,5.38660e-03
410,-8.15173e-01,-8.20559e-01,5.38655e-03
411,-8.15173e-01,-8.20559e-01,5.38655e-03
412,-8.15173e-01,-8.20559e-01,5.38656e-03
413,-8.15173e-01,-8.20559e-01,5.38655e-03
414,-8.15173e-01,-8.20559e-01,5.38656e-03
415,-8.15173e-01,-8.20559e-01,5.38648e-03
416,-8.15173e-01,-8.20559e-01,5.38657e-03
417,-8.15173e-01,-8.20559e-01,5.38663e-03
418,-8.15173e-01,-8.20559e-01,5.38653e-03
419,-8.15173e-01,-8.20559e-01,5.38659e-03
420,-8.15173e-01,-8.20559e-01,5.38646e-03
421,-8.15173e-01,-8.20559e-01,5.38663e-03
422,2.79415e-01,2.79415e-01,1.02525e-09
423,6.09224e-01,6.11682e-01,2.45824e-03
424,8.54677e-01,8.58934e-01,4.25752e-03
425,9.81560e-01,9.86808e-01,5.24748e-03
426,9.72171e-01,9.77530e-01,5.35891e-03
427,8.27767e-01,8.32391e-01,4.62321e-03
428,5.68387e-01,5.71561e-01,3.17480e-03
